1 40 84
2 35 45
3 32 89
4 1 58
5 16 38
6 69 5
7 90 16
8 16 53
9 61 58
10 27 39
11 29 74
12 30 7
13 40 86
14 95 66
15 85 0
16 46 53
17 79 26
18 99 30
19 60 61
20 21 89
21 30 15
22 34 39
23 65 76
24 60 53
25 46 65
26 33 95
27 37 95
28 0 52
29 27 2
30 59 20
31 88 5
32 26 30
33 90 50
34 71 28
35 87 68
36 46 96
37 78 38
38 23 35
39 30 67
40 72 57
41 83 39
42 82 85
43 18 95
44 42 52
45 6 92
46 89 76
47 40 69
48 76 40
49 12 48
50 22 88
51 53 0
52 86 1
53 82 24
54 31 97
55 94 81
56 49 22
57 58 29
58 32 26
59 17 0
60 4 24
61 41 70
62 22 50
63 6 39
64 48 22
65 22 92
66 35 19
67 21 64
68 5 79
69 3 44
70 17 94
71 91 47
72 88 70
73 93 45
74 40 90
75 70 84
76 74 65
77 68 58
78 27 94
79 66 4
80 37 62
81 15 38
82 65 2
83 84 7
84 75 25
85 91 38
86 32 21
87 65 25
88 23 25
89 95 13
90 27 55
91 32 87
92 29 68
93 84 88
94 65 7
95 90 25
96 61 85
97 84 37
98 76 11
99 85 56
100 86 34
101 69 34
102 90 96
103 12 99
104 5 62
105 3 38
106 53 28
107 56 61
108 82 45
109 2 47
110 28 29
111 19 1
112 83 57
113 10 74
114 12 22
115 95 74
116 82 83
117 25 25
118 34 39
119 53 26
120 40 87
121 4 29
122 39 56
123 31 83
124 48 9
125 26 92
126 98 33
127 91 24
128 37 75
129 46 90
130 42 57
131 98 35
132 43 18
133 21 34
134 45 4
135 69 6
136 55 31
137 27 50
138 6 97
139 73 81
140 15 71
141 73 85
142 62 96
143 48 53
144 2 61
145 4 59
146 40 91
147 33 31
148 86 74
149 9 34
150 40 99
151 63 84
152 44 79
153 6 13
154 54 93
155 89 39
156 41 86
157 28 10
158 58 78
159 14 81
160 75 41
161 47 34
162 42 2
163 53 72
164 23 70
165 78 77
166 12 37
167 93 77
168 29 99
169 43 3
170 60 1
171 76 13
172 37 21
173 58 20
174 79 75
175 45 28
176 85 45
177 84 43
178 33 96
179 25 36
180 42 50
181 89 56
182 69 97
183 18 57
184 2 20
185 15 55
186 20 21
187 6 19
188 91 78
189 30 42
190 99 80
191 39 18
192 22 74
193 53 67
194 20 47
195 57 9
196 27 1
197 56 89
198 7 6
199 25 31
200 90 13
201 95 43
202 7 79
203 44 42
204 70 19
205 12 25
206 66 13
207 32 83
208 1 93
209 38 58
210 26 41
211 69 76
212 17 13
213 16 29
214 86 28
215 69 84
216 82 4
217 7 43
218 75 15
219 41 10
220 76 64
221 74 55
222 10 73
223 53 52
224 28 95
225 43 49
226 70 26
227 81 88
228 0 10
229 27 99
230 36 82
231 86 29
232 100 0
233 6 97
234 68 30
235 73 93
236 65 92
237 54 98
238 23 42
239 58 78
240 20 91
241 13 93
242 77 48
243 56 1
244 38 38
245 73 54
246 68 59
247 28 10
248 30 53
249 91 44
250 96 23
251 52 62
252 19 98
253 50 16
254 54 19
255 25 33
256 15 62
257 21 95
258 62 21
259 47 85
260 44 12
261 92 68
262 16 78
263 71 18
264 78 21
265 25 66
266 97 95
267 81 80
268 99 70
269 67 11
270 69 15
271 33 45
272 41 51
273 85 83
274 57 69
275 14 85
276 70 20
277 6 44
278 85 30
279 34 54
280 3 88
281 18 97
282 73 44
283 80 50
284 33 15
285 74 45
286 35 62
287 95 13
288 76 4
289 59 66
290 1 97
291 33 85
292 61 1
293 86 51
294 23 67
295 81 6
296 76 62
297 93 36
298 20 32
299 56 88
300 95 3
301 40 77
302 66 87
303 80 57
304 59 58
305 57 28
306 75 42
307 80 0
308 16 54
309 97 93
310 9 80
311 32 85
312 4 38
313 16 40
314 15 33
315 48 65
316 12 64
317 75 89
318 90 9
319 88 40
320 1 78
321 51 11
322 7 55
323 7 78
324 15 41
325 2 82
326 63 15
327 61 56
328 89 48
329 34 11
330 8 48
331 13 67
332 69 0
333 28 28
334 78 98
335 14 35
336 47 35
337 90 39
338 17 58
339 93 31
340 50 22
341 43 72
342 56 93
343 92 40
344 50 63
345 42 62
346 71 24
347 88 25
348 37 57
349 22 27
350 1 41
351 63 66
352 27 48
353 6 20
354 27 26
355 85 76
356 23 72
357 55 78
358 70 48
359 84 11
360 81 87
361 81 80
362 52 23
363 88 63
364 100 99
365 28 46
366 46 97
367 53 78
368 71 44
369 43 2
370 19 59
371 13 4
372 59 30
373 86 55
374 35 81
375 33 58
376 67 4
377 62 71
378 80 92
379 90 16
380 7 53
381 72 97
382 46 39
383 74 97
384 7 0
385 59 100
386 59 72
387 7 58
388 69 46
389 44 76
390 27 34
391 39 44
392 41 25
393 11 98
394 82 91
395 46 67
396 23 57
397 96 89
398 93 88
399 36 15
400 24 2
